spcs,name,epsg
4802,NAD83 / Wisconsin Central,32153
4803,NAD83 / Wisconsin South,32154
4901,NAD83 / Wyoming East,32155
4902,NAD83 / Wyoming East Central,32156
4903,NAD83 / Wyoming West Central,32157
4904,NAD83 / Wyoming West,32158
5001,NAD83 / Alaska zone 1,26931
5002,NAD83 / Alaska zone 2,26932
5003,NAD83 / Alaska zone 3,26933
5004,NAD83 / Alaska zone 4,26934
5005,NAD83 / Alaska zone 5,26935
5006,NAD83 / Alaska zone 6,26936
5007,NAD83 / Alaska zone 7,26937
5008,NAD83 / Alaska zone 8,26938
5009,NAD83 / Alaska zone 9,26939
5010,NAD83 / Alaska zone 10,26940
5101,NAD83 / Hawaii zone 1,26961
5102,NAD83 / Hawaii zone 2,26962
5103,NAD83 / Hawaii zone 3,26963
5104,NAD83 / Hawaii zone 4,26964
5105,NAD83 / Hawaii zone 5,26965
5200,NAD83 / Puerto Rico & Virgin Is.,32161
10101,NAD27 / Alabama East,26729
10102,NAD27 / Alabama West,26730
10201,NAD27 / Arizona East,26748
10202,NAD27 / Arizona Central,26749
10203,NAD27 / Arizona West,26750
10301,NAD27 / Arkansas North,26751
10302,NAD27 / Arkansas South,26752
10401,NAD27 / California zone I,26741
10402,NAD27 / California zone II,26742
10403,NAD27 / California zone III,26743
10404,NAD27 / California zone IV,26744
10405,NAD27 / California zone V,26745
10406,NAD27 / California zone VI,26746
10407,NAD27 / California zone VII,26799
10501,NAD27 / Colorado North,26753
10502,NAD27 / Colorado Central,26754
10503,NAD27 / Colorado South,26755
10600,NAD27 / Connecticut,26756
10700,NAD27 / Delaware,26757
10901,NAD27 / Florida West,26759
10901,NAD27 / Florida East,26758
10903,NAD27 / Florida North,26760
11001,NAD27 / Georgia East,26766
11002,NAD27 / Georgia West,26767
11101,NAD27 / Idaho East,26768
11102,NAD27 / Idaho Central,26769
11103,NAD27 / Idaho West,26770
11201,NAD27 / Illinois East,26771
11202,NAD27 / Illinois West,26772
11301,NAD27 / Indiana East,26773
11302,NAD27 / Indiana West,26774
11401,NAD27 / Iowa North,26775
11402,NAD27 / Iowa South,26776
11501,NAD27 / Kansas North,26777
11502,NAD27 / Kansas South,26778
11601,NAD27 / Kentucky North,26779
11602,NAD27 / Kentucky South,26780
11701,NAD27 / Louisiana North,26781
11702,NAD27 / Louisiana South,26782
11801,NAD27 / Maine East,26783
11802,NAD27 / Maine West,26784
11900,NAD27 / Maryland,26785
12001,NAD27 / Massachusetts Mainland,26786
12002,NAD27 / Massachusetts Island,26787
12101,NAD27 / Michigan East,5623
12102,NAD27 / Michigan Old Central,5624
12103,NAD27 / Michigan West,5625
12111,NAD Michigan / Michigan North,26811
12112,NAD Michigan / Michigan Central,26812
12113,NAD Michigan / Michigan South,26813
12201,NAD27 / Minnesota North,26791
12202,NAD27 / Minnesota Central,26792
12203,NAD27 / Minnesota South,26793
12301,NAD27 / Mississippi East,26794
12302,NAD27 / Mississippi West,26795
12401,NAD27 / Missouri East,26796
12402,NAD27 / Missouri Central,26797
12403,NAD27 / Missouri West,26798
12501,NAD27 / Montana North,32001
12502,NAD27 / Montana Central,32002
12503,NAD27 / Montana South,32003
12601,NAD27 / Nebraska North,32005
12602,NAD27 / Nebraska South,32006
12701,NAD27 / Nevada East,32007
12702,NAD27 / Nevada Central,32008
12703,NAD27 / Nevada West,32009
12800,NAD27 / New Hampshire,32010
12900,NAD27 / New Jersey,32011
13001,NAD27 / New Mexico East,32012
13002,NAD27 / New Mexico Central,32013
13003,NAD27 / New Mexico West,32014
13101,NAD27 / New York East,32015
13102,NAD27 / New York Central,32016
13103,NAD27 / New York West,32017
13104,NAD27 / New York Long Island,32018
13200,NAD27 / North Carolina,32019
13301,NAD27 / North Dakota North,32020
13302,NAD27 / North Dakota South,32021
13401,NAD27 / Ohio North,32022
13402,NAD27 / Ohio South,32023
13501,NAD27 / Oklahoma North,32024
13502,NAD27 / Oklahoma South,32025
13601,NAD27 / Oregon North,32026
13602,NAD27 / Oregon South,32027
13701,NAD27 / Pennsylvania North,32028
13702,NAD27 / Pennsylvania South,32029
13800,NAD27 / Rhode Island,32030
13901,NAD27 / South Carolina North,32031
13902,NAD27 / South Carolina South,32033
14001,NAD27 / South Dakota North,32034
14002,NAD27 / South Dakota South,32035
14100,NAD27 / Tennessee,2204
14201,NAD27 / Texas North,32037
14202,NAD27 / Texas North Central,32038
14203,NAD27 / Texas Central,32039
14204,NAD27 / Texas South Central,32040
14205,NAD27 / Texas South,32041
14301,NAD27 / Utah North,32042
14302,NAD27 / Utah Central,32043
14303,NAD27 / Utah South,32044
14400,NAD27 / Vermont,32045
14501,NAD27 / Virginia North,32046
14502,NAD27 / Virginia South,32047
14601,NAD27 / Washington North,32048
14602,NAD27 / Washington South,32049
14701,NAD27 / West Virginia North,32050
14702,NAD27 / West Virginia South,32051
14801,NAD27 / Wisconsin North,32052
14802,NAD27 / Wisconsin Central,32053
14803,NAD27 / Wisconsin South,32054
14901,NAD27 / Wyoming East,32055
14902,NAD27 / Wyoming East Central,32056
14903,NAD27 / Wyoming West Central,32057
14904,NAD27 / Wyoming West,32058
15001,NAD27 / Alaska zone 1,26731
15002,NAD27 / Alaska zone 2,26732
15003,NAD27 / Alaska zone 3,26733
15004,NAD27 / Alaska zone 4,26734
15005,NAD27 / Alaska zone 5,26735
15006,NAD27 / Alaska zone 6,26736
15007,NAD27 / Alaska zone 7,26737
15008,NAD27 / Alaska zone 8,26738
15009,NAD27 / Alaska zone 9,26739
15010,NAD27 / Alaska zone 10,26740
15101,Old Hawaiian / Hawaii zone 1,3561
15102,Old Hawaiian / Hawaii zone 2,3562
15103,Old Hawaiian / Hawaii zone 3,3563
15104,Old Hawaiian / Hawaii zone 4,3564
15105,Old Hawaiian / Hawaii zone 5,3565
15201,Puerto Rico State Plane CS of 1927,3991
15202,Puerto Rico / St. Croix,3992
15300,American Samoa 1962 / American Samoa Lambert,3102
15400,Guam 1963 / Guam SPCS,3993
